Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,134.0800018310547,134.74000549316406,131.72000122070312,132.69000244140625,132.4920196533203,99116600
2021-01-04,133.52000427246094,133.61000061035156,126.76000213623047,129.41000366210938,129.2169189453125,143301900
2021-01-05,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,130.81451416015625,97664900
2021-01-06,127.72000122070312,131.0500030517578,126.37999725341797,126.5999984741211,126.41110229492188,155088000
2021-01-07,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,130.7246551513672,109578200
2021-01-08,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,131.85296630859375,105158200
2021-01-11,129.19000244140625,130.1699981689453,128.5,128.97999572753906,128.7875518798828,100620900
2021-01-12,128.5,129.69000244140625,126.86000061035156,128.8000030517578,128.60781860351562,91951100
2021-01-13,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,130.6947021484375,88636800
2021-01-14,130.8000030517578,131.0,128.75999450683594,128.91000366210938,128.71766662597656,90221800
2021-01-15,128.77999877929688,130.22000122070312,127.0,127.13999938964844,126.9502944946289,111598500
2021-01-19,127.77999877929688,128.7100067138672,126.94000244140625,127.83000183105469,127.63926696777344,90757300
2021-01-20,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,131.83299255371094,104319500
2021-01-21,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,136.665771484375,120529500
2021-01-22,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,138.8625030517578,114459400
2021-01-25,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,142.70675659179688,157611700
2021-01-26,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,142.94639587402344,98390600
2021-01-27,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,141.84803771972656,140843800
2021-01-28,139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062,136.8854522705078,142621100
2021-01-29,135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672,131.7631072998047,177180600
